date,strategy,period,ls_ret,ls_ret_gross,ls_ret_pre_capeff,long_ret,short_pnl,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,tc_cost_monthly,borrow_cost_monthly,rebate_monthly,net_financing_monthly,rf_rate,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
1967-06-01,A_Value,in_sample,0.026145,0.039229,0.039217,0.10283,-0.063612,0.116279,0.134259,0.125269,215,216,0.081571,0.001253,0.00125,0.002492,0.001242,0.0027,2.004651,2.689815,1.146872,0.026145,0.073893,0.127596,0.134283,0.126161,0.150005,0.112488,0.097368,0.0,-0.075045,-0.151759,0.776426,0.104089,1.381329,0.176772,1.789372,0.314254,1.0,1.0,0.666667
1967-07-01,A_Value,in_sample,-0.003504,-0.000216,-0.005256,0.001112,-0.006368,0.665116,0.691244,0.67818,215,217,0.003679,0.006782,0.00125,0.002992,0.001742,0.0032,1.753488,2.764977,1.142853,-0.003504,0.056535,0.088344,0.144632,0.117282,0.148479,0.110778,0.097401,-0.003504,-0.057629,-0.151759,0.872593,0.098818,1.537523,0.167974,2.509734,0.3112,0.666667,0.833333,0.666667
1967-08-01,A_Value,in_sample,0.021942,0.035672,0.032913,0.067294,-0.034381,0.359447,0.520737,0.440092,217,217,0.061275,0.004401,0.00125,0.002892,0.001642,0.0031,1.949309,2.603687,1.16793,0.021942,0.044986,0.103933,0.191773,0.132808,0.17246,0.106,0.097912,-0.003504,-0.009208,-0.151759,1.303661,0.168635,2.24665,0.287798,20.826394,0.3589,0.666667,0.833333,0.75
1967-09-01,A_Value,in_sample,0.013476,0.018979,0.020213,-0.016117,0.03633,0.046083,0.0553,0.050691,217,217,-0.022199,0.000507,0.00125,0.002992,0.001742,0.0032,2.009217,2.626728,1.183668,0.013476,0.032084,0.108348,0.281695,0.175763,0.188255,0.070711,0.097994,-0.003504,-0.009208,-0.151759,2.994674,0.21306,14.728179,0.36315,30.591857,0.389963,0.666667,0.833333,0.833333
1967-10-01,A_Value,in_sample,-0.004239,-0.007985,-0.006359,-0.009156,0.002796,0.098592,0.064516,0.081554,213,217,0.000179,0.000816,0.00125,0.003692,0.002442,0.0039,2.061033,2.695853,1.17865,-0.004239,0.031322,0.089628,0.218764,0.18872,0.180237,0.068677,0.098135,-0.004239,-0.004239,-0.151759,2.319877,0.186261,10.273509,0.319318,51.602552,0.374228,0.666667,0.666667,0.75
1967-11-01,A_Value,in_sample,0.02038,0.02914,0.03057,0.091542,-0.060972,0.077982,0.06422,0.071101,218,218,0.079261,0.000711,0.00125,0.003392,0.002142,0.0036,2.03211,2.720183,1.202671,0.02038,0.029746,0.07607,0.25516,0.227609,0.195289,0.062554,0.098528,-0.004239,-0.004239,-0.151759,3.038735,0.226757,18.797839,0.390266,60.187797,0.403706,0.666667,0.666667,0.833333
1967-12-01,A_Value,in_sample,0.005235,0.006425,0.007852,0.017532,-0.00968,0.041475,0.041475,0.041475,217,217,0.022423,0.000415,0.00125,0.003092,0.001842,0.0033,2.082949,2.709677,1.208967,0.005235,0.021373,0.054142,0.188647,0.280612,0.206356,0.043537,0.098372,-0.004239,-0.004239,-0.151759,3.061633,0.257747,13.27788,0.441037,44.498448,0.425224,0.666667,0.666667,0.833333
1968-01-01,A_Value,in_sample,-0.034978,-0.047935,-0.052467,-0.083501,0.031034,0.737327,0.677419,0.707373,217,217,-0.056131,0.007074,0.00125,0.003792,0.002542,0.004,1.700461,2.907834,1.166679,-0.034978,-0.010156,0.020848,0.111034,0.150181,0.1682,0.061753,0.101016,-0.034978,-0.034978,-0.151759,1.062316,0.142588,1.708525,0.240445,3.174383,0.350474,0.666667,0.666667,0.75
1968-02-01,A_Value,in_sample,0.003826,0.003784,0.005739,-0.012904,0.018644,0.050926,0.046296,0.048611,216,216,-0.010962,0.000486,0.00125,0.003692,0.002442,0.0039,1.708333,2.921296,1.171143,0.003826,-0.026215,0.002751,0.10697,0.121783,0.18327,0.061957,0.100691,-0.034978,-0.034978,-0.151759,0.99486,0.182413,1.60654,0.305299,3.058211,0.380187,0.666667,0.666667,0.75
1968-03-01,A_Value,in_sample,0.063964,0.094323,0.095947,0.17103,-0.075083,0.083333,0.060185,0.071759,216,216,0.140097,0.000718,0.00125,0.003592,0.002342,0.0038,1.712963,2.935185,1.246055,0.063964,0.030678,0.052706,0.166764,0.144487,0.24712,0.083098,0.106264,-0.034978,-0.034978,-0.151759,1.402929,0.343439,3.010131,0.606465,4.76768,0.50336,0.666667,0.666667,0.75
1968-04-01,A_Value,in_sample,0.067013,0.098968,0.10052,0.129367,-0.028847,0.16129,0.096774,0.129032,217,217,0.089197,0.00129,0.00125,0.004092,0.002842,0.0043,1.870968,2.894009,1.329557,0.067013,0.139608,0.128033,0.229137,0.302343,0.320814,0.098986,0.111844,-0.034978,-0.034978,-0.151759,1.721367,0.500962,4.373119,0.930159,6.550868,0.640401,1.0,0.833333,0.75
