date,strategy,period,ls_ret,ls_ret_gross,ls_ret_pre_capeff,long_ret,short_pnl,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,tc_cost_monthly,borrow_cost_monthly,rebate_monthly,net_financing_monthly,rf_rate,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
2020-10-01,B_ValueQuality,oos,-0.02551,-0.035322,-0.038266,0.175532,-0.213797,0.194489,0.144213,0.169351,617.0,527.0,0.189049,0.001694,0.00125,0.0,-0.00125,0.0001,6.0,2.888046,1.151569,-0.02551,-0.031197,-0.053134,-0.12244,-0.042889,0.021993,0.066785,0.073846,-0.031197,-0.12064,-0.133416,-2.022763,-0.070201,-2.439135,-0.117994,-1.014919,0.054551,0.333333,0.5,0.416667
2020-11-01,B_ValueQuality,oos,-0.00253,0.002669,-0.003795,0.074922,-0.078717,0.630115,0.412698,0.521406,611.0,567.0,0.072237,0.005214,0.00125,0.0,-0.00125,0.0001,4.800327,3.724868,1.148655,-0.00253,-0.018803,-0.020541,-0.11378,-0.072306,0.019391,0.067236,0.07387,-0.033648,-0.122865,-0.135608,-1.846543,-0.078611,-2.19458,-0.132454,-0.926054,0.047358,0.333333,0.5,0.416667
2020-12-01,B_ValueQuality,oos,-0.092612,-0.135536,-0.138918,0.030032,-0.16895,0.304035,0.122203,0.213119,694.0,581.0,0.068377,0.002131,0.00125,0.0,-0.00125,0.0001,5.07781,3.561102,1.042277,-0.092612,-0.117997,-0.117157,-0.192415,-0.12532,-0.069314,0.106071,0.091423,-0.123144,-0.204098,-0.215661,-1.993748,-0.379428,-2.186211,-0.526839,-0.942756,-0.109709,0.0,0.333333,0.416667
2021-01-01,B_ValueQuality,oos,0.011947,0.02277,0.017921,0.082696,-0.064774,0.480456,0.239286,0.359871,614.0,560.0,0.087834,0.003599,0.00125,0.0,-0.00125,0.0,5.908795,3.010714,1.054729,0.011947,-0.084094,-0.112668,-0.18288,-0.102944,-0.052339,0.108799,0.091713,-0.117997,-0.204098,-0.215661,-1.818484,-0.30733,-2.04482,-0.426624,-0.896042,-0.082351,0.333333,0.333333,0.416667
2021-02-01,B_ValueQuality,oos,0.062169,0.096181,0.093253,0.055925,0.037328,0.193215,0.142373,0.167794,678.0,590.0,0.023875,0.001678,0.00125,0.0,-0.00125,0.0,5.943953,3.005085,1.1203,0.062169,-0.024686,-0.043025,-0.144518,-0.030006,-0.003361,0.131538,0.098576,-0.117997,-0.167991,-0.215661,-1.129642,-0.103436,-1.540074,-0.15495,-0.860271,-0.005201,0.666667,0.5,0.416667
2021-03-01,B_ValueQuality,oos,0.043151,0.067941,0.064727,0.033441,0.031285,0.322533,0.070352,0.196442,679.0,597.0,0.01735,0.001964,0.00125,0.0,-0.00125,0.0,5.5081,3.075377,1.168642,0.043151,0.12124,-0.011062,-0.067118,-0.017808,0.047751,0.137518,0.101488,-0.094907,-0.142998,-0.215661,-0.445081,0.07154,-0.645515,0.110069,-0.469362,0.072661,1.0,0.5,0.5
2021-04-01,B_ValueQuality,oos,0.034222,0.055249,0.051333,0.037069,0.014264,0.436526,0.096647,0.266586,449.0,507.0,0.021966,0.002666,0.00125,0.0,-0.00125,0.0,6.131403,2.889546,1.208636,0.034222,0.14592,0.049556,-0.006211,0.006154,0.07899,0.139972,0.103205,-0.092612,-0.123144,-0.215661,0.015275,0.17179,0.022478,0.269138,-0.05044,0.11901,1.0,0.666667,0.583333
2021-05-01,B_ValueQuality,oos,-0.039901,-0.055781,-0.059852,0.00243,-0.062281,0.461111,0.102913,0.282012,540.0,515.0,0.017959,0.00282,0.00125,0.0,-0.00125,0.0,5.557407,3.036893,1.16041,-0.039901,0.035803,0.010233,-0.010518,-0.051445,0.024496,0.141201,0.105919,-0.039901,-0.123144,-0.215661,-0.013725,0.010627,-0.02014,0.016605,-0.085416,0.037557,0.666667,0.666667,0.583333
2021-06-01,B_ValueQuality,oos,0.061409,0.094764,0.092113,-0.017902,0.110015,0.245981,0.034091,0.140036,622.0,528.0,-0.033926,0.0014,0.00125,0.0,-0.00125,0.0,5.495177,3.026515,1.231669,0.061409,0.053932,0.181711,0.043265,-0.018033,0.07015,0.154087,0.111211,-0.039901,-0.123144,-0.215661,0.342952,0.150269,0.549194,0.247078,0.351341,0.105986,0.666667,0.833333,0.583333
2021-07-01,B_ValueQuality,oos,-0.01662,-0.021118,-0.02493,0.012129,-0.037058,0.35274,0.159498,0.256119,584.0,558.0,0.019628,0.002561,0.00125,0.0,-0.00125,0.0,6.003425,2.867384,1.211199,-0.01662,0.002121,0.148351,0.018969,-0.03122,0.069185,0.155471,0.111262,-0.039901,-0.117997,-0.215661,0.189834,0.152463,0.311034,0.250666,0.16076,0.104559,0.333333,0.666667,0.5
